date,n. trees planted,notes,location,geodata
24 August,28,"mostly larix, a few contorta and 1 engelmanii",Qanassiasat,below
25 August,11,"10 larix, 1 contorta Qassiarsuq school kids",Qanassiasat,below
26 August,18,"15 larix, 2 contorta and 1 engelmanii",Qanassiasat,below
27 August,26,notes from Jason needed,Qanassiasat,below
28 August,13,"mostly larix, a few contorta and 1 engelmanii",Qanassiasat,link to data
2 September,5,"2 engelmanii, 1 poplar, 2 larix",Nevada,"appx.  61.065381°, -46.716761°"
5 September,25,15 poplus Narsaq school kids,Narsaq,link to data
8 September,17,"1 larix, 1 contorta, 15 poplus",Qooquut,link to data
10 October,80,poplar,Narsaq,Paul Cohen
Total,223,,,
,,,,
,#ERROR!,,,
